; network-interactions  -v 20 -title demo_01 -tfs $RSAT/public_html/demo_files/TFs_short.txt -cre $RSAT/public_html/demo_files/enhancers_short.bed -genome galGal4 -report_net -net $RSAT/public_html/demo_files/net_short.tsv -score 5 -pval 0.0005 -outdir ./Demo_01 -html
TFEB	SULT6B1	chr3:32659586-32660551	D_424_433	6.5
TFEB	gga	chr5:2570682-2572149	R_1127_1136;D_111_120;D_1384_1393	5.2;6.0;5.7
TFEB	ENSGALG00000024315	chr6:5489857-5491155	D_84_93;R_504_513;R_84_93;R_618_627	8.7;6.0;10.6;6.4
TFEB	ENSGALG00000015479	chr2:112964339-112965278	R_736_745	5.8
TFEB	XLOC_011029	chr3:91354278-91356176	D_78_87;R_78_87	8.5;8.1
TFEB	SCARNA24	chr1:117420844-117422368	R_748_757;D_50_59;R_50_59;D_748_757;D_408_417	6.1;5.7;6.6;5.8;5.6
TFEB	VAV3	chr8:1035758-1037827	R_866_875;R_1170_1179;D_1170_1179	7.1;5.2;5.6
TFEB	SOX6	chr5:10646723-10648243	D_16_25;R_16_25	9.8;9.0
TFEB	IRX1	chr2:87130510-87131509	D_163_172	5.7
TFEB	TFEB	chr26:4959032-4960031	R_821_830;D_821_830	5.8;6.7
LMX1B	YY1	chr5:48408565-48409521	R_302_312;D_299_309	1.9;2.0
LMX1B	XLOC_015475	chr9:7126744-7128049	D_450_460;D_198_208;R_674_684;R_453_463;D_671_681	1.5;0.8;5.5;1.7;6.0
LMX1B	gga	chr5:2570682-2572149	R_529_539;D_1012_1022;R_1215_1225;D_1212_1222	0.8;1.5;2.3;0.9
LMX1B	ENSGALG00000024315	chr6:5489857-5491155	R_255_265;D_252_262	0.9;1.4
LMX1B	ENSGALG00000015479	chr2:112964339-112965278	D_197_207	0.9
LMX1B	XLOC_011029	chr3:91354278-91356176	D_523_533;D_619_629;R_946_956;R_1352_1362;R_463_473;R_526_536;R_470_480	2.3;0.5;1.9;0.2;1.9;1.7;0.2
LMX1B	DLG5	chr6:12784442-12785279	D_310_320;R_92_102	0.7;0.8
LMX1B	SCARNA24	chr1:117420844-117422368	D_1317_1327;D_307_317;R_1320_1330;D_387_397;R_310_320;D_1210_1220;D_1163_1173	6.0;11.2;7.2;1.3;10.6;0.4;1.0
LMX1B	VAV3	chr8:1035758-1037827	R_1264_1274;R_761_771;D_408_418;R_2030_2040;D_1758_1768;D_2031_2041;D_1130_1140;R_1184_1194	0.5;0.8;0.6;0.1;0.2;2.0;1.5;0.6
LMX1B	KPNA4	chr9:21588443-21589179	R_308_318;D_305_315	1.4;0.8
LMX1B	SOX6	chr5:10646723-10648243	R_683_693;D_283_293	0.2;7.0
LMX1B	SNRPB2	chr3:5603949-5605124	R_99_109;D_96_106	1.6;1.2
LMX1B	ENSGALG00000009178	chr3:11581493-11583017	R_7_17	0.8
LMX1B	IRX1	chr2:87130510-87131509	D_149_159;D_8_18	1.2;2.0
LMX1B	EYA1	chr2:116791463-116792812	D_419_429;R_422_432;D_416_426	1.2;9.0;1.4
LMX1B	TFEB	chr26:4959032-4960031	R_315_325;D_844_854;R_641_651;R_172_182;D_312_322;R_847_857	6.7;8.6;0.7;1.6;7.5;7.3
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
; Host name	rsat-tagc
; Job started	2022-03-03.092844
; Job done	2022-03-03.092858
; Seconds	0.15
;	user	0.15
;	system	0.03
;	cuser	10.82
;	csystem	0.71
